"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count"
"hsa04080","Neuroactive ligand-receptor interaction","191/2378","371/9416",1.87929807910093e-28,6.61512923843529e-26,5.5785479821733e-26,191
"hsa04082","Neuroactive ligand signaling","93/2378","199/9416",2.94065684785803e-11,5.17555605223013e-09,4.36455384787349e-09,93
"hsa04382","Cornified envelope formation","97/2378","217/9416",2.46242429662058e-10,2.88924450803482e-08,2.43650404086668e-08,97
"hsa04974","Protein digestion and absorption","53/2378","103/9416",9.03403925784479e-09,7.29944341557653e-07,6.15563111002566e-07,53
"hsa04820","Cytoskeleton in muscle cells","98/2378","233/9416",1.03685275789439e-08,7.29944341557653e-07,6.15563111002566e-07,98
"hsa04519","Cadherin signaling","152/2378","404/9416",1.31883141510019e-08,7.73714430192113e-07,6.52474489575884e-07,152
"hsa05322","Systemic lupus erythematosus","66/2378","143/9416",4.04902787840566e-08,2.03608259028399e-06,1.71703137099308e-06,66
"hsa04814","Motor proteins","83/2378","194/9416",5.62874959728696e-08,2.47664982280626e-06,2.08856235057227e-06,83
"hsa04081","Hormone signaling","91/2378","219/9416",6.93375512181191e-08,2.60887696800371e-06,2.20006969191701e-06,91
"hsa04613","Neutrophil extracellular trap formation","83/2378","195/9416",7.41158229546509e-08,2.60887696800371e-06,2.20006969191701e-06,83
"hsa04512","ECM-receptor interaction","45/2378","89/9416",2.30247098016907e-07,7.36790713654103e-06,6.21336666418831e-06,45
"hsa04610","Complement and coagulation cascades","44/2378","89/9416",7.04316694562724e-07,2.06599563738399e-05,1.7422570865499e-05,44
"hsa05033","Nicotine addiction","25/2378","41/9416",1.32506120643355e-06,3.39552037346043e-05,2.86344720489187e-05,25
"hsa05034","Alcoholism","78/2378","191/9416",1.35049105762631e-06,3.39552037346043e-05,2.86344720489187e-05,78
"hsa04024","cAMP signaling pathway","88/2378","226/9416",3.1586579069212e-06,7.41231722157508e-05,6.25081775264406e-05,88
"hsa04060","Cytokine-cytokine receptor interaction","109/2378","298/9416",7.07566812519881e-06,0.000155664698754374,0.000131272263901715,109
"hsa04950","Maturity onset diabetes of the young","17/2378","26/9416",1.82835458604774e-05,0.000378576949581649,0.000319254484994094,17
"hsa04020","Calcium signaling pathway","92/2378","254/9416",5.54086256930806e-05,0.00108354645799802,0.000913756283359575,92
"hsa05032","Morphine addiction","40/2378","91/9416",7.37670223198614e-05,0.00136663115034691,0.00115248201075905,40
"hsa00830","Retinol metabolism","32/2378","69/9416",0.000110953139391165,0.00195277525328451,0.00164677817412151,32
"hsa04976","Bile secretion","38/2378","90/9416",0.000303779000095126,0.00509191466826116,0.00429401894871306,38
"hsa04270","Vascular smooth muscle contraction","52/2378","134/9416",0.000345115395471973,0.00552184632755156,0.00465658093411944,52
"hsa05150","Staphylococcus aureus infection","40/2378","99/9416",0.000630394202213174,0.00924578163245989,0.00779698092211032,40
"hsa05410","Hypertrophic cardiomyopathy","40/2378","99/9416",0.000630394202213174,0.00924578163245989,0.00779698092211032,40
"hsa01230","Biosynthesis of amino acids","32/2378","75/9416",0.000710762443066878,0.0100075351983816,0.0084393687976783,32
"hsa04518","Integrin signaling","57/2378","154/9416",0.000747690226999592,0.0101225753809176,0.00853638234874029,57
"hsa04110","Cell cycle","58/2378","158/9416",0.000854168693137929,0.0111358288883167,0.00939086048596086,58
"hsa05144","Malaria","23/2378","50/9416",0.00114453253790209,0.0139765548489245,0.0117864487661385,23
"hsa05412","Arrhythmogenic right ventricular cardiomyopathy","35/2378","86/9416",0.00115147753016708,0.0139765548489245,0.0117864487661385,35
"hsa02010","ABC transporters","21/2378","45/9416",0.00147990261761545,0.0173641907133547,0.0146432469532477,21
"hsa04061","Viral protein interaction with cytokine and cytokine receptor","39/2378","100/9416",0.00162016649314852,0.0182522781179392,0.0153921723363004,39
"hsa00140","Steroid hormone biosynthesis","28/2378","66/9416",0.00165929801072174,0.0182522781179392,0.0153921723363004,28
"hsa00330","Arginine and proline metabolism","22/2378","50/9416",0.00292696878654518,0.0311119386240557,0.0262367424999513,22
"hsa04260","Cardiac muscle contraction","34/2378","87/9416",0.00300513043527811,0.0311119386240557,0.0262367424999513,34
"hsa00910","Nitrogen metabolism","10/2378","17/9416",0.00333407781827686,0.0335312969152416,0.0282769908196714,10
"hsa00512","Mucin type O-glycan biosynthesis","17/2378","36/9416",0.0035091927458209,0.034061738124709,0.0287243126530142,17
"hsa04514","Cell adhesion molecule (CAM) interaction","56/2378","160/9416",0.00358035315515407,0.034061738124709,0.0287243126530142,56
"hsa00980","Metabolism of xenobiotics by cytochrome P450","31/2378","79/9416",0.00417556306111678,0.0386788999345555,0.0326179718347627,31
"hsa05414","Dilated cardiomyopathy","39/2378","105/9416",0.00446180210771501,0.0402706241516842,0.0339602751518389,39
"hsa04727","GABAergic synapse","34/2378","89/9416",0.00459986902108629,0.0404788473855594,0.0341358701038509,34
