"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","gene_name","gene_type"
31080.6916713096,-3.91447673387269,0.152196447761933,-25.7198955129082,7.00307105477924e-146,1.37018586722283e-141,"ENSG00000105974.13","CAV1","protein_coding"
6022.0926945079,-4.43198105824875,0.174018320987226,-25.4684738543942,4.40755255493004e-143,5.74906463423225e-139,"ENSG00000182010.11","RTKN2","protein_coding"
1848.41479556744,-3.13842850222989,0.128930686538203,-24.3419823976501,7.04923545786063e-131,4.59739387835907e-127,"ENSG00000135604.10","STX11","protein_coding"
144.254141668545,-4.05957815153135,0.168908490000637,-24.0341865084226,1.22171290637702e-127,6.82954967706277e-124,"ENSG00000234281.5","LANCL1-AS1","lncRNA"
1294.90394472572,-4.91486933697022,0.20461412295919,-24.0201862212145,1.71124656353166e-127,8.37034865969467e-124,"ENSG00000150625.16","GPM6A","protein_coding"
83.0191387437304,-4.92273926120996,0.209003953156639,-23.5533308670032,1.16047655902358e-122,5.04562313679464e-119,"ENSG00000102104.9","RS1","protein_coding"
47958.2999201414,-5.65034720964642,0.244726243180194,-23.0884401125956,6.04975002052237e-118,2.36732768053061e-114,"ENSG00000204305.14","AGER","protein_coding"
83.1650250401124,-5.15184039164476,0.226208227061412,-22.7747702131369,8.15672817238759e-115,2.90164481921544e-111,"ENSG00000261863.1","LINC01996","lncRNA"
52.705044436342,-5.55863227628464,0.257371948887629,-21.5976616733457,1.88940290062769e-103,5.28101606460443e-100,"ENSG00000224215.1","AL606469.1","lncRNA"
30082.3985897723,-2.74463381216584,0.127900880523893,-21.459068936223,3.75752708465133e-102,9.1897370218432e-99,"ENSG00000213853.10","EMP2","protein_coding"
14778.5693590549,-3.41232876711372,0.159458160536831,-21.399524211403,1.34978350752045e-101,3.10696343722252e-98,"ENSG00000107742.13","SPOCK2","protein_coding"
7769.67932109531,-3.46289750878655,0.162835672297342,-21.2662094240825,2.33396338201697e-100,5.07390672787255e-97,"ENSG00000022267.19","FHL1","protein_coding"
134.649368414598,-2.77759628785384,0.131280409299364,-21.1577363498309,2.3419922524741e-99,4.58222494157821e-96,"ENSG00000235387.5","SPAAR","protein_coding"
117.851981283661,-4.04096020921638,0.191774306211136,-21.0714369878488,1.45449867243308e-98,2.71028512147518e-95,"ENSG00000102683.8","SGCG","protein_coding"
927.306477943155,-3.91885099739907,0.187904977027737,-20.8554933423642,1.35889636742823e-96,2.41704426153791e-93,"ENSG00000159307.19","SCUBE1","protein_coding"
2189.38448987049,-2.48711353464875,0.119422875122945,-20.8261066574412,2.51059188290231e-96,4.16796472738802e-93,"ENSG00000070778.13","PTPN21","protein_coding"
30.828120680869,-5.20732803321799,0.250048860422275,-20.8252420123971,2.55631477491791e-96,4.16796472738802e-93,"ENSG00000198358.4","AL354714.1","lncRNA"
583.269310438305,-2.93075064253909,0.141288541924875,-20.7430171096069,1.41749702249165e-95,2.21872303948482e-92,"ENSG00000186994.11","KANK3","protein_coding"
90.8412232652526,-3.41799346744948,0.166099111239582,-20.5780358602844,4.31827245653413e-94,6.49916613448603e-91,"ENSG00000197465.14","GYPE","protein_coding"
3914.67479861725,-3.53390565741559,0.171905147593845,-20.5572998067809,6.62169357618162e-94,9.59679597516899e-91,"ENSG00000136160.17","EDNRB","protein_coding"
4367.46405790153,-2.58550773114474,0.126390213255321,-20.4565501121653,5.25259571097725e-93,7.08756285400864e-90,"ENSG00000139567.13","ACVRL1","protein_coding"
21861.3854590602,-2.22156327085175,0.109201411817488,-20.3437229782772,5.27685709253935e-92,6.66092564155346e-89,"ENSG00000261371.6","PECAM1","protein_coding"
13.6583906256561,-5.33797247543877,0.264237995535267,-20.2013812004048,9.51970972528926e-91,1.12883564018271e-87,"ENSG00000248551.1","AC095050.1","lncRNA"
9038.06174315376,-3.94115851838254,0.196587171508748,-20.0478926887006,2.1057768932042e-89,2.35431873165638e-86,"ENSG00000112782.19","CLIC5","protein_coding"
272.765985316809,-3.56188667307179,0.178276102444556,-19.9796081708682,8.28717238725714e-89,9.00792618571553e-86,"ENSG00000238018.2","AC093110.1","lncRNA"
1960.77611642372,-2.55910489950447,0.12839728568022,-19.9311448520653,2.1850616500328e-88,2.31090938993063e-85,"ENSG00000169744.13","LDB2","protein_coding"
163.013129493505,-4.34793961604244,0.218452928521944,-19.9033249197467,3.80809853323348e-88,3.92143957115683e-85,"ENSG00000101280.8","ANGPT4","protein_coding"
123.84993793211,-4.82318543315141,0.243138550674651,-19.8371892065994,1.42189466047497e-87,1.42667076818067e-84,"ENSG00000140600.17","SH3GL3","protein_coding"
463.908896783349,-3.32767583421339,0.168099869498379,-19.7958263985772,3.23404427511738e-87,3.16378466324045e-84,"ENSG00000123119.12","NECAB1","protein_coding"
560.995869394702,-5.71371884276811,0.290938262678647,-19.6389391693012,7.18841235721939e-86,6.25088364334115e-83,"ENSG00000158764.7","ITLN2","protein_coding"
11908.0151911392,-2.48690600199075,0.127010514607492,-19.5803159264112,2.27604517775019e-85,1.9361722576205e-82,"ENSG00000157654.19","PALM2AKAP2","protein_coding"
2560.63849465296,-2.81091059209503,0.143732028843841,-19.5566055437023,3.62415252455459e-85,3.01737686039033e-82,"ENSG00000072163.20","LIMS2","protein_coding"
550.626333041514,-3.0022622890034,0.153771869454962,-19.524132077244,6.84704559167714e-85,5.58191127183163e-82,"ENSG00000111052.7","LIN7A","protein_coding"
208.15944812195,-2.58414242044733,0.133194295324197,-19.401299538824,7.52450670378349e-84,5.45261984862504e-81,"ENSG00000101331.17","CCM2L","protein_coding"
